scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
NLWV_0sAAAAJ,1UXap38AAAAJ,Enrique Arias,Profesor de informática (UCLM)
NLWV_0sAAAAJ,PSXV3aIAAAAJ,Ricardo J. Barrientos,"Universidad Católica del Maule, Talca, Chile"
Mu139UwAAAAJ,JYcf1M0AAAAJ,Alvaro Olivera-Nappa,University of Chile
Mu139UwAAAAJ,OuIoqBIAAAAJ,Seba Contreras,Max Planck Institute for Dynamics and Self-Organization
Mu139UwAAAAJ,8pRPUiQAAAAJ,Cristofer Quiroz,"Facultad de Ingeniería, Universidad Autónoma de Chile, Talca, Chile"
Mu139UwAAAAJ,ncL44GkAAAAJ,Marcelo Navarrete,"Professor of Molecular Medicine, University of Magallanes"
Mu139UwAAAAJ,ltV9qv8AAAAJ,Anamaría Daza-Sanchez,CeBiB-Universidad de Chile
Mu139UwAAAAJ,c4gGlokAAAAJ,Jorge Torres-Almonacid,"Masters Student, Universidad de Magallanes"
Mu139UwAAAAJ,h2F8sjEAAAAJ,Carlos Conca,"Professor of Mathematics, University of Chile"
Mu139UwAAAAJ,Os_RpQIAAAAJ,Ricardo Verdugo,"Assistant Professor of Human Genetics, Universidad de Chile"
Mu139UwAAAAJ,5oK8Ek4AAAAJ,Viola Priesemann,Max Planck Institute for Dynamics and Selforganization
Mu139UwAAAAJ,UW3hy-UAAAAJ,Karen Oróstica,"Instituto de Investigación Interdisciplinaria, Vicerrectoría Académica, Universidad de Talca, Talca"
Mu139UwAAAAJ,aSqFL04AAAAJ,Jonas Dehning,Max Planck Institute for Dynamics and Self-Organization
Mu139UwAAAAJ,SbeXJfAAAAAJ,Emil Nafis Iftekhar,Max Planck Institute for Dynamics and Self-Organization
Mu139UwAAAAJ,uZAc5k0AAAAJ,Sebastian B. Mohr,Max Planck Institute for Dynamics and Self-Organization
Mu139UwAAAAJ,1ewmOJEAAAAJ,Diego Alvarez Saravia,Universidad de Magallanes
Mu139UwAAAAJ,0YHiDCoAAAAJ,Carlos Gomez,"Research and Teaching Assistant, Université Nice-Sophia Antipolis"
Mu139UwAAAAJ,i0jFnPcAAAAJ,Lindybeth Sarmiento,
Mu139UwAAAAJ,NLWV_0sAAAAJ,Roberto Uribe Paredes,"Universidad de Magallanes, University of Magallanes"
Mu139UwAAAAJ,7MaY5EcAAAAJ,ERNESTO RUBEN CASTILLO HERN...,Universidad Politécnica de Tapachula
_oDVeBYAAAAJ,1DXN06AAAAAJ,Tamara Contador Mejías,Universidad de Magallanes
_oDVeBYAAAAJ,mwlZ7uAAAAAJ,Peter Convey,"Individual Merit Scientist, British Antarctic Survey"
_oDVeBYAAAAJ,b3y2fQUAAAAJ,Ricardo Rozzi,"Professor, Dep. of Philosophy, University of North Texas (USA) & Inst. of Ecology and Biodiversity"
_oDVeBYAAAAJ,WwtL3OUAAAAJ,Felipe Lorenz Simões,Universidade Federal do Rio Grande do Sul
_oDVeBYAAAAJ,zOYi5KwAAAAJ,Elke Schüttler,"Investigator, Sub-antarctic Biocultural Conservation Program, University of Magallanes, Chile"
_oDVeBYAAAAJ,IAV2HL0AAAAJ,Ramiro D Crego,"School of Biological, Earth & Environmental Sciences, University College Cork, Ireland"
_oDVeBYAAAAJ,yfDRWScAAAAJ,Andrés Mansilla M.,Universidad de Magallanes
_oDVeBYAAAAJ,KsbNW3IAAAAJ,Melisa Gañan Mora,Wankara Subantarctic and Antarctic Freshwater Studies Laboratory. University of Magallanes
IFxuBs8AAAAJ,TDht5VUAAAAJ,Stewart Williams,Cranfield University
IFxuBs8AAAAJ,FyaL5ScAAAAJ,Paul Andrew Colegrove,Cranfield University
IFxuBs8AAAAJ,CeXHxkQAAAAJ,Ana Sofia C. M. d´Oliveira,"Universidade Federal do Paraná, Dep. Engenharia Mecânica"
IFxuBs8AAAAJ,1ZYDzOwAAAAJ,Supriyo Ganguly,"Reader in Welding and Additive Materials Science, Cranfield University"
IFxuBs8AAAAJ,P72Yil4AAAAJ,Filomeno Martina,CEO at WAAM3D Ltd.
IFxuBs8AAAAJ,80E7pHQAAAAJ,Germán Omar Barrionuevo,Universidad de las Fuerzas Armadas ESPE
